product_code	category	unit	barcode_policy	vat_rate	stock_tracking	price_policy	uat_scenario_ref	acceptance_signal	implementation_status	note
sample_product_barcode_standard	retail	adet	barcode_required	20	stock_tracked	standard_price	uat_product_create_update	product visible in tenant scope	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_product_weighted	gida	kg	scale_barcode_ready	1	stock_tracked	weighted_price	uat_sale_cash_flow	weighted sale scenario ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_product_vat_10	retail	adet	barcode_required	10	stock_tracked	standard_price	uat_accounting_journal_check	VAT 10 accounting check ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_product_vat_20	retail	adet	barcode_required	20	stock_tracked	standard_price	uat_accounting_journal_check	VAT 20 accounting check ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_product_zero_stock	retail	adet	barcode_required	20	stock_tracked	standard_price	uat_low_stock_warning	low stock warning scenario ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_product_low_stock_threshold	retail	adet	barcode_required	20	stock_tracked	standard_price	uat_low_stock_warning	threshold evidence ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_product_variant	apparel	adet	variant_barcode	20	stock_tracked	variant_price	uat_product_create_update	variant product check ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_product_serial_tracked	electronics	adet	serial_policy	20	serial_stock_tracked	standard_price	uat_inventory_movement_validation	serial movement policy ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_product_refundable	retail	adet	barcode_required	20	stock_tracked	standard_price	uat_sale_cancel_refund	refund scenario ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_product_discountable	retail	adet	barcode_required	20	stock_tracked	discount_policy	uat_sale_cash_flow	discount evidence ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_service_item	service	hizmet	barcode_optional	20	no_stock_tracking	service_price	uat_accounting_journal_check	service accounting check ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
sample_deposit_item	packaging	adet	barcode_required	20	stock_tracked	deposit_price	uat_sale_cash_flow	deposit item flow ready	READY_FOR_IMPLEMENTATION	contract_only_no_product_created
