flow_code	flow_type	payment_type	stock_effect	accounting_effect	expected_tdhp_lines	uat_scenario_ref	blocker_if_failed	implementation_status	note
cash_sale_standard	sale	cash	stock_decrease	journal_expected	100/600/391	uat_sale_cash_flow	YES	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
card_sale_standard	sale	credit_card	stock_decrease	journal_expected	108/600/391	uat_sale_cash_flow	YES	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
registered_customer_sale	sale	receivable	stock_decrease	journal_expected	120/600/391	uat_accounting_journal_check	YES	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
vat_10_sale	sale	cash	stock_decrease	journal_expected	100/600/391.10	uat_accounting_journal_check	YES	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
vat_20_sale	sale	cash	stock_decrease	journal_expected	100/600/391.20	uat_accounting_journal_check	YES	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
discounted_sale	sale	cash	stock_decrease	discount_journal_policy	100/600/391/discount_policy	uat_sale_cash_flow	NO	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
refund_cash_sale	refund	cash	stock_increase	reversal_expected	610/191/100_or_policy	uat_sale_cancel_refund	YES	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
cancel_sale_reversal	cancel	cash	stock_reversal	full_reversal_expected	reverse_original_lines	uat_sale_cancel_refund	YES	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
service_sale_no_stock	sale	cash	no_stock_effect	service_journal_expected	100/600/391	uat_accounting_journal_check	NO	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
daily_cash_report	cash_report	cash	no_stock_effect	cash_total_expected	cash_total_matches_sales	uat_reporting_summary	NO	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
stock_report_after_sale	stock_report	none	report_only	no_journal	stock_total_matches_movements	uat_reporting_summary	NO	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
audit_report_after_mutation	audit_report	none	report_only	audit_expected	actor/request/tenant visible	uat_audit_trail_check	YES	READY_FOR_IMPLEMENTATION	contract_only_no_sale_or_journal
