checklist_item	owner_role	required_before_go_live	evidence_required	risk_if_missing	implementation_status	note
tenant_contract_confirmed	project_owner	YES	signed/approved pilot scope	scope drift	READY_FOR_IMPLEMENTATION	baseline_only
pilot_contact_list_ready	project_owner	YES	contact/role list	support gap	READY_FOR_IMPLEMENTATION	baseline_only
tenant_admin_created	platform_admin	YES	tenant admin account evidence	cannot operate tenant	READY_FOR_IMPLEMENTATION	baseline_only
user_role_matrix_ready	tenant_admin	YES	role/permission matrix	wrong access	READY_FOR_IMPLEMENTATION	baseline_only
store_branch_cashdesk_ready	tenant_admin	YES	branch/cashdesk checklist	sales flow blocked	READY_FOR_IMPLEMENTATION	baseline_only
product_import_template_ready	tenant_operator	YES	template/evidence	product setup delay	READY_FOR_IMPLEMENTATION	baseline_only
opening_stock_ready	tenant_operator	YES	stock count evidence	stock mismatch	READY_FOR_IMPLEMENTATION	baseline_only
accounting_mapping_reviewed	accountant	YES	TDHP review checklist	wrong accounting output	READY_FOR_IMPLEMENTATION	baseline_only
training_session_completed	trainer	YES	training attendance note	user adoption risk	READY_FOR_IMPLEMENTATION	baseline_only
support_channel_ready	support	YES	support contact/channel	issue response delay	READY_FOR_IMPLEMENTATION	baseline_only
incident_feedback_loop_ready	ops_admin	YES	incident template	pilot issue lost	READY_FOR_IMPLEMENTATION	baseline_only
go_no_go_meeting_scheduled	project_owner	YES	calendar/meeting note	rollout ambiguity	READY_FOR_IMPLEMENTATION	baseline_only
