gate	status	note
cleanup	PASS	20.1 production cleanup final
config_env	PASS	20.2 config/env hardening final
runtime_service	PASS	20.3 runtime service hardening final
nginx_reverse_proxy	PASS	20.4 nginx/reverse proxy final
docker_compose	PASS	20.5 docker/compose final
backup_archive	PASS	20.6 backup/archive final
production_tests	PASS	20.7 production hardening tests final
artifact_coverage	PASS	missing=0
no_change	PASS	failures=0
risk_evidence	PASS	risk_total=4728
secret_safe	PASS	secret values not printed
file_delete_executed	NO	final evidence only
file_move_executed	NO	final evidence only
file_permission_changed	NO	final evidence only
config_changed	NO	final evidence only
env_changed	NO	final evidence only
firewall_changed	NO	final evidence only
nginx_reload_executed	NO	final evidence only
nginx_restarted	NO	final evidence only
container_restarted	NO	final evidence only
docker_compose_executed	NO	final evidence only
docker_network_changed	NO	final evidence only
docker_volume_changed	NO	final evidence only
docker_port_changed	NO	final evidence only
docker_prune_executed	NO	final evidence only
restic_prune_executed	NO	final evidence only
restore_executed	NO	final evidence only
pg_dump_executed	NO	final evidence only
pg_restore_executed	NO	final evidence only
service_restarted	NO	final evidence only
deploy_executed	NO	final evidence only
db_mutation	NO	final evidence only
db_apply_executed	NO	final evidence only
migration_created	NO	final evidence only
migration_apply_executed	NO	final evidence only
log_content_printed	NO	secret-safe report
query_text_printed	NO	secret-safe report
raw_dsn_printed	NO	secret-safe report
secret_value_printed	NO	secret-safe report
