signal_name	category	description	default_severity	refresh_interval	visibility_scope	widget_ref	api_endpoint	owner	implementation_status	envelope_contract	note
platform_overview	platform	overall platform health rollup	CRITICAL	20s	platform_admin	ops_console_overview	GET /ops/v1/summary	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
service_status	runtime	systemd and service health state	CRITICAL	15s	ops_admin	service_grid	GET /ops/v1/services	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
container_status	runtime	docker container state and healthcheck	CRITICAL	15s	ops_admin	container_grid	GET /ops/v1/containers	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
api_gateway_health	api	API Gateway health and error signal	HIGH	15s	ops_admin	api_gateway_card	GET /ops/v1/api-gateway	api_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
db_health	database	PostgreSQL connection and write/read readiness	CRITICAL	30s	ops_admin	database_panel	GET /ops/v1/database	database_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
postgres_replica_lag	database	read replica lag and replication readiness	HIGH	60s	ops_admin	database_panel	GET /ops/v1/database/replication	database_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
redis_health	cache	Redis availability and latency placeholder	HIGH	30s	ops_admin	cache_panel	GET /ops/v1/cache/redis	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
event_bus_health	event_bus	NATS/Event Bus health readiness	HIGH	30s	ops_admin	event_bus_panel	GET /ops/v1/event-bus	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
queue_backlog	event_bus	queue backlog and consumer lag	HIGH	30s	ops_admin	event_bus_panel	GET /ops/v1/event-bus/backlog	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
dlq_signal	event_bus	dead-letter queue growth	HIGH	30s	ops_admin	dlq_panel	GET /ops/v1/event-bus/dlq	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
metrics_health	metrics	Prometheus and scrape target health	HIGH	30s	ops_admin	observability_panel	GET /ops/v1/observability/metrics	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
logs_health	logs	Loki readiness and log pipeline metadata	HIGH	30s	ops_admin	observability_panel	GET /ops/v1/observability/logs	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
traces_health	traces	Tempo / OTEL readiness and trace contract metadata	HIGH	30s	ops_admin	observability_panel	GET /ops/v1/observability/traces	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
public_surface_risk	security	internal ports exposed publicly	CRITICAL	60s	security_admin	security_risk_panel	GET /ops/v1/security/public-surface	security_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
tenant_isolation_signal	security	tenant boundary / tenant scope signal	CRITICAL	60s	security_admin	tenant_security_panel	GET /ops/v1/security/tenant-isolation	security_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
secret_leak_signal	security	secret/token leak attempt signal	CRITICAL	60s	security_admin	security_risk_panel	GET /ops/v1/security/secret-leaks	security_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
audit_gap	security	audit missing or gap signal	HIGH	60s	security_admin	audit_panel	GET /ops/v1/security/audit	security_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
backup_stale	backup	backup freshness and restore drill signal	HIGH	5m	ops_admin	backup_panel	GET /ops/v1/backups	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
disk_usage	infra	disk saturation signal	HIGH	60s	ops_admin	infra_panel	GET /ops/v1/infra/disk	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
memory_usage	infra	memory pressure signal	MEDIUM	60s	ops_admin	infra_panel	GET /ops/v1/infra/memory	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
cpu_usage	infra	CPU pressure signal	MEDIUM	60s	ops_admin	infra_panel	GET /ops/v1/infra/cpu	platform_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
rate_limit_anomaly	api	gateway rate limit anomaly signal	MEDIUM	60s	ops_admin	api_gateway_card	GET /ops/v1/api-gateway/rate-limit	api_ops	READY_FOR_IMPLEMENTATION	signal_name/category/status/severity/source/observed_at/tenant_scope/summary/evidence_ref/runbook_ref/owner/refresh_interval/visibility_scope	contract_only_no_runtime_change
