alert_name	category	signal_source	severity	condition_hint	threshold_hint	duration_hint	owner	channel	escalation_level	runbook_placeholder	implementation_status	note
service_down	runtime	service_health	CRITICAL	service active_state != active	status != active	1m	platform_ops	ops_console,sms_or_phone	L1_immediate	runbooks/service_down.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
container_down	runtime	container_health	CRITICAL	container not running	running=false	1m	platform_ops	ops_console,sms_or_phone	L1_immediate	runbooks/container_down.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
prometheus_target_down	metrics	prometheus_targets	HIGH	scrape target down	up == 0	2m	platform_ops	ops_console,chat,email	L2_fast	runbooks/prometheus_target_down.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
loki_not_ready	logs	loki_ready	HIGH	Loki readiness failed	ready != 200	2m	platform_ops	ops_console,chat,email	L2_fast	runbooks/loki_not_ready.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
tempo_not_ready	traces	tempo_ready	HIGH	Tempo readiness failed	ready != 200	2m	platform_ops	ops_console,chat,email	L2_fast	runbooks/tempo_not_ready.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
otel_unreachable	traces	otel_reachability	HIGH	OTEL collector unreachable	tcp/http unreachable	2m	platform_ops	ops_console,chat,email	L2_fast	runbooks/otel_unreachable.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
public_surface_risk	security	public_surface_policy	CRITICAL	internal service exposed publicly	public_internal_port_count > 0	0m	security_ops	ops_console,sms_or_phone	L1_immediate	runbooks/public_surface_risk.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
db_connection_error	database	db_health	CRITICAL	DB connection failures	db_error_count > 0	1m	database_ops	ops_console,sms_or_phone	L1_immediate	runbooks/db_connection_error.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
event_bus_backlog_high	event_bus	queue_backlog	HIGH	event bus backlog high	backlog > threshold	5m	platform_ops	ops_console,chat,email	L2_fast	runbooks/event_bus_backlog_high.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
dlq_growth	event_bus	dlq_signal	HIGH	DLQ growth detected	dlq_count increase	5m	platform_ops	ops_console,chat,email	L2_fast	runbooks/dlq_growth.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
api_error_rate_high	api	api_gateway_health	HIGH	API 5xx/error rate high	error_rate > threshold	5m	api_ops	ops_console,chat,email	L2_fast	runbooks/api_error_rate_high.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
latency_high	api	latency_signal	MEDIUM	p95/p99 latency high	latency > threshold	10m	api_ops	ops_console,chat	L3_watch	runbooks/latency_high.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
disk_usage_high	infra	host_metrics	HIGH	disk usage high	disk_usage > threshold	10m	platform_ops	ops_console,chat,email	L2_fast	runbooks/disk_usage_high.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
memory_high	infra	host_metrics	MEDIUM	memory usage high	memory_usage > threshold	10m	platform_ops	ops_console,chat	L3_watch	runbooks/memory_high.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
cpu_high	infra	host_metrics	MEDIUM	cpu saturation high	cpu_usage > threshold	10m	platform_ops	ops_console,chat	L3_watch	runbooks/cpu_high.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
backup_stale	backup	backup_archive	HIGH	backup/restore drill stale	last_success_age > threshold	30m	platform_ops	ops_console,chat,email	L2_fast	runbooks/backup_stale.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
secret_leak_attempt	security	tenant_security_observability	CRITICAL	secret/token leak signal	secret_pattern_detected	0m	security_ops	ops_console,sms_or_phone	L1_immediate	runbooks/secret_leak_attempt.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
audit_gap	security	audit_signal	HIGH	audit gap detected	audit_missing_count > 0	5m	security_ops	ops_console,chat,email	L2_fast	runbooks/audit_gap.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
tenant_isolation_violation	security	tenant_security_observability	CRITICAL	tenant boundary violation signal	tenant_mismatch > 0	0m	security_ops	ops_console,sms_or_phone	L1_immediate	runbooks/tenant_isolation_violation.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
rate_limit_anomaly	api	gateway_rate_limit	MEDIUM	rate limit anomaly	rate_limit_hit spike	10m	api_ops	ops_console,chat	L3_watch	runbooks/rate_limit_anomaly.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
redis_unreachable	cache	redis_health	HIGH	Redis unreachable	redis_health != ok	2m	platform_ops	ops_console,chat,email	L2_fast	runbooks/redis_unreachable.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
postgres_replica_lag	database	db_replica_health	HIGH	read replica lag high	replica_lag > threshold	5m	database_ops	ops_console,chat,email	L2_fast	runbooks/postgres_replica_lag.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
nats_unreachable	event_bus	event_bus_health	HIGH	NATS unavailable	nats_health != ok	2m	platform_ops	ops_console,chat,email	L2_fast	runbooks/nats_unreachable.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
health_endpoint_down	service	service_health	HIGH	service health endpoint down	health_status != 200	2m	platform_ops	ops_console,chat,email	L2_fast	runbooks/health_endpoint_down.md	READY_FOR_RULE_DESIGN	rule_not_created_evidence_only
