onboarding_area	owner_role	baseline_ref	milestone	evidence_required	blocker_if_missing	implementation_status	note
tenant_setup	platform_admin	pilot_tenant_identity_reserved	before_uat	tenant readiness evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
role_mapping	tenant_admin	user_role_matrix_ready	before_uat	role permission matrix evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
store_branch_cashdesk	tenant_admin	store_branch_cashdesk_ready	before_uat	store/branch/cashdesk checklist	YES	READY_FOR_IMPLEMENTATION	contract_only
product_import	tenant_operator	product_import_template_ready	before_uat	product template evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
opening_stock	tenant_operator	opening_stock_ready	before_uat	opening stock evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
accounting_review	accountant	accounting_mapping_reviewed	before_go_live	TDHP review evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
training_session	trainer	training_session_completed	before_go_live	training completion evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
support_channel	support	support_channel_ready	before_uat	support channel evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
incident_loop	ops_admin	incident_feedback_loop_ready	before_uat	incident template evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
security_review	security_admin	rbac_access_checked	before_go_live	RBAC/tenant isolation evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
uat_execution	project_owner	p0_uat_passed	before_go_live	P0 UAT evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
go_no_go	project_owner	go_no_go_ready	before_go_live	go/no-go decision evidence	YES	READY_FOR_IMPLEMENTATION	contract_only
