gate	status	note
previous_22	PASS	observability ops console prerequisite
workflow_domain_inventory	PASS	domains=15
realtime_signal_contract	PASS	signals=15 critical=1 high=4
ui_surface_contract	PASS	ui_surfaces=12 audit_required=12
api_surface_candidates	PASS	api_candidates=13 existing_markers=120
no_runtime_change	PASS	no service/container/ui/api/runtime changed
no_config_change	PASS	no config/env/nginx/firewall changed
secret_safe	PASS	no secrets printed
service_restarted	NO	evidence only
container_restarted	NO	evidence only
docker_compose_executed	NO	evidence only
nginx_reload_executed	NO	evidence only
firewall_changed	NO	evidence only
port_changed	NO	evidence only
config_changed	NO	evidence only
env_changed	NO	evidence only
ui_code_changed	NO	contract only
api_route_created	NO	contract only
api_implementation_changed	NO	contract only
websocket_server_started	NO	contract only
sse_server_started	NO	contract only
workflow_runtime_changed	NO	contract only
event_published	NO	contract only
event_consumed	NO	contract only
db_mutation	NO	evidence only
db_apply_executed	NO	evidence only
migration_created	NO	evidence only
migration_apply_executed	NO	evidence only
raw_dsn_printed	NO	secret-safe report
secret_value_printed	NO	secret-safe report
token_printed	NO	secret-safe report
