widget_name	widget_type	signal_refs	minimum_fields	visibility_scope	ui_section	implementation_status	note
ops_console_overview	summary	platform_overview	status/severity/active_alert_count/public_risk_count	platform_admin	top_panel	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
service_grid	table	service_status	service_name/status/severity/last_seen/runbook_ref	ops_admin	runtime_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
container_grid	table	container_status	container_name/status/image/health/risk	ops_admin	runtime_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
api_gateway_card	card	api_gateway_health,rate_limit_anomaly	status/error_rate/latency/rate_limit	ops_admin	api_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
database_panel	panel	db_health,postgres_replica_lag	status/connection/replica_lag/last_error_ref	ops_admin	data_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
event_bus_panel	panel	event_bus_health,queue_backlog	status/backlog/consumer_lag/replay_ready	ops_admin	event_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
dlq_panel	table	dlq_signal	event_type/count/oldest_age/runbook_ref	ops_admin	event_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
observability_panel	panel	metrics_health,logs_health,traces_health	prometheus/loki/tempo/otel readiness	ops_admin	observability_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
security_risk_panel	panel	public_surface_risk,secret_leak_signal	severity/risk_count/owner/runbook_ref	security_admin	security_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
tenant_security_panel	panel	tenant_isolation_signal	tenant_scope/violation_count/evidence_ref	security_admin	security_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
audit_panel	table	audit_gap	audit_source/gap_count/last_seen	security_admin	security_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
backup_panel	panel	backup_stale	last_success/restore_drill_required/risk	ops_admin	resilience_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
infra_panel	panel	disk_usage,memory_usage,cpu_usage	usage_pct/severity/trend	ops_admin	infra_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
alert_timeline	timeline	all_alerts	alert_name/severity/status/observed_at/runbook_ref	ops_admin	alerts_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
runbook_panel	links	all_alerts	runbook_ref/owner/escalation_level	ops_admin	runbook_section	READY_FOR_IMPLEMENTATION	contract_only_no_ui_code
