stock_case	product_ref	warehouse_ref	movement_type	quantity_policy	expected_balance_policy	uat_scenario_ref	blocker_if_failed	implementation_status	note
opening_stock_positive	sample_product_barcode_standard	main_warehouse	opening_balance	positive_quantity	balance_increases	uat_stock_opening_entry	YES	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
opening_stock_zero	sample_product_zero_stock	main_warehouse	opening_balance	zero_quantity	balance_zero	uat_stock_opening_entry	YES	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
sale_stock_decrease	sample_product_barcode_standard	main_warehouse	sale_out	sale_quantity	balance_decreases	uat_sale_cash_flow	YES	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
weighted_sale_decrease	sample_product_weighted	main_warehouse	sale_out	decimal_quantity	balance_decreases_decimal	uat_sale_cash_flow	YES	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
refund_stock_increase	sample_product_refundable	main_warehouse	refund_in	refund_quantity	balance_increases	uat_sale_cancel_refund	YES	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
cancel_reversal	sample_product_refundable	main_warehouse	cancel_reversal	original_sale_quantity	movement_reversed	uat_sale_cancel_refund	YES	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
manual_adjustment_plus	sample_product_barcode_standard	main_warehouse	adjustment_in	adjustment_quantity	balance_increases	uat_inventory_movement_validation	NO	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
manual_adjustment_minus	sample_product_barcode_standard	main_warehouse	adjustment_out	adjustment_quantity	balance_decreases	uat_inventory_movement_validation	NO	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
low_stock_threshold_cross	sample_product_low_stock_threshold	main_warehouse	sale_out	threshold_quantity	warning_expected	uat_low_stock_warning	NO	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
negative_stock_guard	sample_product_zero_stock	main_warehouse	sale_out	greater_than_balance	reject_or_guard_expected	uat_inventory_movement_validation	YES	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
serial_stock_out	sample_product_serial_tracked	main_warehouse	sale_out	serial_quantity_one	serial_movement_expected	uat_inventory_movement_validation	NO	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
warehouse_transfer_note	sample_product_barcode_standard	main_warehouse_to_branch	transfer	transfer_quantity	source_decrease_target_increase	uat_inventory_movement_validation	NO	READY_FOR_IMPLEMENTATION	contract_only_no_stock_mutation
