gate	status	note
previous_16_2	PASS	pilot tenant readiness prerequisite
uat_execution_plan	PASS	scenarios=16 p0=10 p1=6
uat_actor_matrix	PASS	actors=9
uat_evidence_matrix	PASS	evidence=16 go_live=10
uat_blocker_policy	PASS	policies=12 no_go=8
tenant_rbac_coverage	PASS	tenant_checks=16 rbac_checks=16
audit_coverage	PASS	audit_required=16
no_runtime_change	PASS	no real UAT/tenant/user/db/api/ui/event changed
no_config_change	PASS	no config/env/nginx/firewall changed
secret_safe	PASS	no secrets/customer private data printed
service_restarted	NO	evidence only
container_restarted	NO	evidence only
docker_compose_executed	NO	evidence only
nginx_reload_executed	NO	evidence only
firewall_changed	NO	evidence only
port_changed	NO	evidence only
config_changed	NO	evidence only
env_changed	NO	evidence only
tenant_created	NO	contract only
user_created	NO	contract only
password_created	NO	contract only
token_created	NO	contract only
uat_executed	NO	contract only
real_sale_created	NO	contract only
real_stock_mutated	NO	contract only
real_accounting_entry_created	NO	contract only
ui_code_changed	NO	contract only
api_route_created	NO	contract only
api_implementation_changed	NO	contract only
db_mutation	NO	evidence only
db_apply_executed	NO	evidence only
migration_created	NO	evidence only
migration_apply_executed	NO	evidence only
event_published	NO	contract only
event_consumed	NO	contract only
notification_sent	NO	contract only
customer_private_data_printed	NO	secret-safe report
raw_dsn_printed	NO	secret-safe report
secret_value_printed	NO	secret-safe report
token_printed	NO	secret-safe report
