page_name	route_candidate	category	widgets	data_source	realtime_channel	required_permission	tenant_scope	audit_required	implementation_order	implementation_status	note
workflow_dashboard	/panel/workflows	workflow	workflow_overview,workflow_instance_table,workflow_health_card	GET /api/v1/workflow-instances	tenant.workflow.events	workflow:read	tenant_scoped	YES	10	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
workflow_detail	/panel/workflows/{id}	workflow	workflow_timeline,workflow_action_panel,workflow_metadata_card	GET /api/v1/workflow-instances/{id}	tenant.workflow.timeline	workflow:read	tenant_scoped	YES	20	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
workflow_action_panel	/panel/workflows/{id}/actions	workflow	start,pause,resume,retry,cancel,archive	POST /api/v1/workflow-instances/{id}/actions	tenant.workflow.events	workflow:execute	tenant_scoped	YES	30	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
approval_center	/panel/approvals	approval	approval_queue,approve_button,reject_button,escalation_badge	GET /api/v1/approvals	tenant.approval.events	approval:read	tenant_scoped	YES	40	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
approval_detail	/panel/approvals/{id}	approval	approval_reason,approve_action,reject_action,audit_ref	GET /api/v1/approvals/{id}	tenant.approval.events	approval:read	tenant_scoped	YES	45	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
task_center	/panel/tasks	task	task_table,task_action_panel,overdue_badge	GET /api/v1/tasks	tenant.task.events	task:read	tenant_scoped	YES	50	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
notification_center	/panel/notifications	notification	notification_stream,notification_filter	GET /api/v1/notifications	tenant.notification.events	notification:read	tenant_scoped	YES	60	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
tenant_audit_timeline	/panel/audit/workflow	audit	audit_timeline,audit_filter	GET /api/v1/audit/workflow	tenant.audit.events	audit:read	tenant_scoped	YES	70	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
ops_workflow_console	/ops/workflows	ops	workflow_ops_card,backlog_card,dlq_card	GET /ops/v1/workflow	ops.workflow.events	ops:read	platform_scoped	YES	80	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
ops_realtime_health	/ops/realtime	ops	realtime_health_card,connection_count_card	GET /ops/v1/realtime/health	platform.realtime.health	ops:read	platform_scoped	YES	85	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
security_workflow_console	/security/workflows	security	tenant_isolation_card,security_event_stream	GET /ops/v1/security/workflow	security.workflow.events	security:read	platform_scoped	YES	90	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
security_tenant_isolation_console	/security/tenant-isolation	security	tenant_violation_stream,tenant_scope_filter	GET /ops/v1/security/tenant-isolation	security.tenant_isolation.events	security:read	platform_scoped	YES	95	READY_FOR_IMPLEMENTATION	plan_only_no_ui_code
