evidence_name	scenario_ref	evidence_type	required_for_go_live	owner_role	acceptance_format	blocker_if_missing	implementation_status	note
tenant_access_evidence	uat_login_tenant_access	screenshot_or_log_summary	YES	tenant_user	masked tenant scoped panel evidence	YES	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
permission_denied_evidence	uat_role_permission_denied	screenshot_or_response_summary	YES	tenant_admin	access denied without sensitive payload	YES	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
product_update_evidence	uat_product_create_update	record_snapshot	NO	tenant_operator	masked product record evidence	NO	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
opening_stock_evidence	uat_stock_opening_entry	stock_snapshot	YES	tenant_operator	stock balance before/after evidence	YES	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
sale_cash_flow_evidence	uat_sale_cash_flow	receipt_and_stock_delta	YES	cashier	sale receipt + stock delta evidence	YES	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
inventory_movement_evidence	uat_inventory_movement_validation	movement_snapshot	YES	tenant_operator	movement quantity matches sale quantity	YES	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
sale_refund_cancel_evidence	uat_sale_cancel_refund	refund_snapshot	YES	cashier	refund/cancel movement evidence	YES	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
low_stock_warning_evidence	uat_low_stock_warning	warning_snapshot	NO	tenant_operator	warning signal evidence	NO	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
workflow_approval_evidence	uat_workflow_approval	workflow_state_snapshot	NO	tenant_approver	state transition/audit evidence	NO	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
accounting_journal_evidence	uat_accounting_journal_check	journal_snapshot	YES	accountant	TDHP line review evidence	YES	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
reporting_summary_evidence	uat_reporting_summary	report_snapshot	NO	tenant_admin	report totals evidence	NO	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
audit_trail_evidence	uat_audit_trail_check	audit_snapshot	YES	tenant_admin	actor/request/tenant audit evidence	YES	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
incident_loop_evidence	uat_observability_incident_loop	incident_note	NO	ops_admin	issue traceability evidence	NO	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
secret_safety_evidence	uat_no_raw_secret_payload	sanitized_report_check	YES	security_admin	no raw secret/raw payload evidence	YES	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
backup_restore_readiness_evidence	uat_backup_restore_readiness_note	readiness_note	NO	ops_admin	non destructive readiness note	NO	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
go_no_go_evidence	uat_go_no_go_decision	signed_decision_note	YES	project_owner	go/no-go decision evidence	YES	READY_FOR_IMPLEMENTATION	contract_only_no_private_data
