gate	status	note
previous_14	PASS	migration lifecycle prerequisite
previous_15	PASS	readmodel/reporting prerequisite
previous_18_1	PASS	opening stock prerequisite
previous_18_2	PASS	stock movement prerequisite
previous_18_3	PASS	sales decrement prerequisite
previous_18_4	PASS	purchase increment prerequisite
previous_18_5	PASS	stock reservation prerequisite
migration_pair	PASS	up/down files exist
schema	PASS	create_schema_count=1
tables	PASS	table_count=6
tenant_safety	PASS	tenant_id=6
policy_mode	PASS	policy_mode=5 decision_action=4 allow_negative=5
scope	PASS	product=5 location=5
quantity	PASS	available=2 negative=2 max_negative=2
movement_ref	PASS	stock_movement_ref=2
approval	PASS	approval_required=2
idempotency	PASS	idempotency_key=2
indexes	PASS	index_count=16
down_migration	PASS	drop_table_count=6
risk	PASS	no destructive/system token in up
current_migration_chain	PASS	pairs=34
db_mutation	NO	migration pair only
db_apply_executed	NO	apply gate is later
negative_stock_policy_executed	NO	runtime later
query_text_printed	NO	secret-safe report
