scenario_name	module	priority	actor_role	precondition	execution_steps	expected_evidence	acceptance_criteria	blocker_if_failed	audit_required	tenant_check_required	rbac_check_required	implementation_status	note
uat_login_tenant_access	auth_tenant	P0	tenant_user	tenant user exists	login and open panel	tenant scoped panel evidence	correct tenant only	YES	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_role_permission_denied	rbac	P0	cashier	restricted permission missing	open admin/security page	access denied evidence	no privilege escalation	YES	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_product_create_update	product	P1	tenant_operator	tenant ready	create/update product	product list evidence	tenant scoped product visible	NO	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_stock_opening_entry	inventory	P0	tenant_operator	product exists	enter opening stock	opening stock evidence	stock balance updated	YES	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_sale_cash_flow	pos_sales	P0	cashier	product and stock exist	complete cash sale	sale receipt + stock delta evidence	sale created and stock decreases	YES	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_inventory_movement_validation	inventory	P0	tenant_operator	completed sale exists	verify stock movement after sale	stock movement evidence	movement quantity matches sale quantity	YES	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_sale_cancel_refund	pos_sales	P0	cashier	sale exists	cancel/refund sale	refund/cancel evidence	no orphan movement	YES	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_low_stock_warning	inventory	P1	tenant_operator	stock threshold exists	reduce stock below threshold	warning signal evidence	warning visible	NO	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_workflow_approval	workflow	P1	tenant_approver	approval workflow exists	request/approve/reject workflow	state transition + audit evidence	audit and realtime evidence exists	NO	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_accounting_journal_check	accounting	P0	accountant	sale exists	review journal/ledger	TDHP journal evidence	accountant acceptance	YES	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_reporting_summary	reporting	P1	tenant_admin	sales/stock data exists	open summary report	report snapshot evidence	totals match source	NO	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_audit_trail_check	audit	P0	tenant_admin	mutating actions exist	open audit evidence	actor/request/tenant audit evidence	audit rows visible	YES	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_observability_incident_loop	ops	P1	ops_admin	pilot issue recorded	open ops/support evidence	incident feedback evidence	issue traceable	NO	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_no_raw_secret_payload	security	P0	security_admin	reports/events exist	inspect exported evidence	secret safety evidence	no raw secret/payload printed	YES	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_backup_restore_readiness_note	ops	P1	ops_admin	pilot data exists	verify backup/restore drill evidence note	restore readiness note	no destructive test in pilot gate	NO	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
uat_go_no_go_decision	rollout	P0	project_owner	all P0 pass	review final gate	go/no-go decision evidence	blockers listed and decision ready	YES	YES	YES	YES	READY_FOR_IMPLEMENTATION	contract_only_no_uat_executed
